step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
8	0.1700	0.6600	0.3400	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	2	2	3	0	9.991114e-24	1.008036e-23	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	3	3	4	0	1.001465e-23	1.010408e-23	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	4	4	5	0	2.001829e-23	2.019856e-23	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	5	5	6	0	7.110371e-22	7.216608e-22	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	6	6	7	0	7.110379e-22	7.216617e-22	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	7	7	8	0	2.001741e-23	2.019767e-23	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	8	8	9	0	9.994338e-24	1.008360e-23	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	9	9	10	0	0.000000e0	0.000000e0	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	10	10	11	0	0.000000e0	0.000000e0	1.492111e-21
8	0.1700	0.6600	0.3400	0.0000	11	6	12	1	0.000000e0	0.000000e0	1.492111e-21
9	0.1900	0.6200	0.3800	0.0000	0	0	1	0	0.000000e0	0.000000e0	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	1	1	2	0	0.000000e0	0.000000e0	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	2	2	3	0	5.943545e-22	6.044349e-22	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	3	3	4	0	5.959691e-22	6.060732e-22	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	4	4	5	0	1.181274e-21	1.201473e-21	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	5	5	6	0	2.721780e-20	2.793947e-20	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	6	6	7	0	2.721785e-20	2.793951e-20	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	7	7	8	0	1.181229e-21	1.201426e-21	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	8	8	9	0	5.946925e-22	6.047761e-22	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	9	9	10	0	0.000000e0	0.000000e0	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	10	10	11	0	0.000000e0	0.000000e0	5.858317e-20
9	0.1900	0.6200	0.3800	0.0000	11	6	12	1	0.000000e0	0.000000e0	5.858317e-20
10	0.2100	0.5800	0.4200	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	2	2	3	0	2.114893e-20	2.175336e-20	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	3	3	4	0	2.122126e-20	2.182733e-20	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	4	4	5	0	4.167277e-20	4.287425e-20	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	5	5	6	0	6.620183e-19	6.899578e-19	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	6	6	7	0	6.620197e-19	6.899592e-19	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	7	7	8	0	4.167125e-20	4.287268e-20	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	8	8	9	0	2.116967e-20	2.177444e-20	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	9	9	10	0	0.000000e0	0.000000e0	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	10	10	11	0	0.000000e0	0.000000e0	1.470922e-18
10	0.2100	0.5800	0.4200	0.0000	11	6	12	1	0.000000e0	0.000000e0	1.470922e-18
11	0.2300	0.5400	0.4600	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	1	1	2	0	0.000000e0	0.000000e0	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	2	2	3	0	4.909544e-19	5.127077e-19	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	3	3	4	0	4.932149e-19	5.150423e-19	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	4	4	5	0	9.580770e-19	1.000951e-18	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	5	5	6	0	1.108045e-17	1.177040e-17	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	6	6	7	0	1.108048e-17	1.177044e-17	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	7	7	8	0	9.580410e-19	1.000914e-18	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	8	8	9	0	4.917472e-19	5.135216e-19	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	9	9	10	0	0.000000e0	0.000000e0	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	10	10	11	0	0.000000e0	0.000000e0	2.555296e-17
11	0.2300	0.5400	0.4600	0.0000	11	6	12	1	0.000000e0	0.000000e0	2.555296e-17
12	0.2500	0.5000	0.5000	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	1	1	2	0	0.000000e0	0.000000e0	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	2	2	3	0	7.924275e-18	8.436983e-18	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	3	3	4	0	7.975065e-18	8.490108e-18	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	4	4	5	0	1.529266e-17	1.629361e-17	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	5	5	6	0	1.352943e-16	1.470647e-16	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	6	6	7	0	1.352949e-16	1.470653e-16	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	7	7	8	0	1.529201e-17	1.629293e-17	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	8	8	9	0	7.944352e-18	8.457874e-18	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	9	9	10	0	0.000000e0	0.000000e0	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	10	10	11	0	0.000000e0	0.000000e0	3.250175e-16
12	0.2500	0.5000	0.5000	0.0000	11	6	12	1	0.000000e0	0.000000e0	3.250175e-16
13	0.2700	0.4600	0.5400	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	1	1	2	0	0.000000e0	0.000000e0	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	2	2	3	0	9.330584e-17	1.017428e-16	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	3	3	4	0	9.414378e-17	1.026339e-16	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	4	4	5	0	1.777702e-16	1.940638e-16	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	5	5	6	0	1.259029e-15	1.406093e-15	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	6	6	7	0	1.259037e-15	1.406102e-15	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	7	7	8	0	1.777613e-16	1.940542e-16	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	8	8	9	0	9.366056e-17	1.021184e-16	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	9	9	10	0	0.000000e0	0.000000e0	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	10	10	11	0	0.000000e0	0.000000e0	3.154707e-15
13	0.2700	0.4600	0.5400	0.0000	11	6	12	1	0.000000e0	0.000000e0	3.154707e-15
14	0.2900	0.4200	0.5800	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	1	1	2	0	0.000000e0	0.000000e0	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	2	2	3	0	8.317910e-16	9.335338e-16	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	3	3	4	0	8.421582e-16	9.447921e-16	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	4	4	5	0	1.561719e-15	1.755783e-15	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	5	5	6	0	9.231120e-15	1.063721e-14	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	6	6	7	0	9.231206e-15	1.063731e-14	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	7	7	8	0	1.561620e-15	1.755674e-15	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	8	8	9	0	8.363499e-16	9.384683e-16	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	9	9	10	0	0.000000e0	0.000000e0	2.409596e-14
