step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
15	0.3100	0.3800	0.6200	0.0000	2	0	4	0	5.779729e-5	1.304434e-4	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	4	0	8	0	1.361235e-2	6.868665e-2	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.367015e-2
15	0.3100	0.3800	0.6200	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.367015e-2
16	0.3300	0.3400	0.6600	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	2	0	4	0	8.899718e-5	2.194405e-4	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	4	0	8	0	1.352605e-2	8.221269e-2	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.361504e-2
16	0.3300	0.3400	0.6600	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.361504e-2
17	0.3500	0.3000	0.7000	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	2	0	4	0	1.293408e-4	3.487813e-4	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	4	0	8	0	1.271152e-2	9.492421e-2	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.284086e-2
